A	B	C	D	E	F	G	H	I	RESP
SYnotp	9309.0	606.0	3383.0	1683.0	LHTxOM	TuCZEm	HEBbwK	5882.0	1642.0
jithza	187.0	2044.0	6322.0	616.0	AWvgct	gkygIZ	UPpvkc	89.0	1346.0
JqymVN	6290.0	449.0	2123.0	732.0	FElhOR	LHTxOM	rIaMwY	6362.0	28.0
gkygIZ	515.0	4227.0	2430.0	1633.0	jithza	gkygIZ	StAyqw	816.0	3819.0
UPpvkc	6759.0	2032.0	771.0	2124.0	cpWqOw	KVGcIg	KVGcIg	19.0	3754.0
HEBbwK	6578.0	3096.0	2445.0	4708.0	eeVQAD	wLOZRO	eeVQAD	9042.0	66.0
eeVQAD	2692.0	211.0	3484.0	1087.0	wLOZRO	pfmxrL	MdNHJO	2501.0	4972.0
FElhOR	384.0	7575.0	980.0	836.0	StAyqw	HEBbwK	StAyqw	1206.0	133.0
CBcUxf	2992.0	2694.0	2504.0	2597.0	epcVJK	IrOLwQ	IrOLwQ	2339.0	1024.0
xuoBel	6034.0	590.0	2698.0	1645.0	DPIKud	SYnotp	wLOZRO	6373.0	790.0
HEBbwK	865.0	8024.0	4937.0	1029.0	rIaMwY	HEBbwK	StAyqw	49.0	4677.0
ReOawA	648.0	387.0	4546.0	5899.0	gkygIZ	JqymVN	CBcUxf	517.0	194.0
SYnotp	5029.0	1652.0	4175.0	5299.0	KVGcIg	AWvgct	xuoBel	1901.0	414.0
uHjRAr	8179.0	1762.0	373.0	1303.0	uHjRAr	TuCZEm	pfmxrL	6883.0	4104.0
AWvgct	568.0	382.0	160.0	3583.0	eeVQAD	FElhOR	UPpvkc	2573.0	8230.0
epcVJK	966.0	4362.0	1235.0	154.0	TuCZEm	DJwYdl	FElhOR	29.0	2401.0
IrOLwQ	104.0	347.0	2598.0	1006.0	UPpvkc	AWvgct	NwlieP	490.0	2623.0
IrOLwQ	2359.0	6383.0	177.0	7858.0	NwlieP	JqymVN	cpWqOw	4.0	1911.0
UPpvkc	2808.0	787.0	6360.0	420.0	KVGcIg	ReOawA	HEBbwK	210.0	4094.0
CBcUxf	1031.0	6304.0	3868.0	2304.0	cpWqOw	HEBbwK	DJwYdl	4193.0	1045.0
wLOZRO	1203.0	2952.0	7408.0	4379.0	jithza	DJwYdl	rIaMwY	4970.0	2026.0
JqymVN	2467.0	4501.0	171.0	4307.0	MdNHJO	LHTxOM	HEBbwK	647.0	1731.0
CBcUxf	595.0	1792.0	5490.0	2372.0	LHTxOM	ReOawA	CBcUxf	1635.0	8447.0
CBcUxf	1007.0	1201.0	524.0	5852.0	uHjRAr	FElhOR	TuCZEm	845.0	2525.0
DJwYdl	6563.0	1389.0	4529.0	5768.0	UPpvkc	DPIKud	eeVQAD	7875.0	1162.0
jithza	3944.0	3901.0	4689.0	6539.0	HEBbwK	DJwYdl	epcVJK	381.0	908.0
rIaMwY	538.0	2554.0	797.0	2246.0	TuCZEm	eeVQAD	jithza	2051.0	2523.0
StAyqw	2378.0	2265.0	3922.0	1816.0	StAyqw	TuCZEm	cpWqOw	2349.0	526.0
OhryCL	2458.0	6985.0	2549.0	3103.0	ZigqKk	cpWqOw	DJwYdl	5552.0	258.0
MdNHJO	4804.0	7102.0	4702.0	4837.0	AWvgct	ZigqKk	cpWqOw	3107.0	4418.0
wLOZRO	2558.0	3476.0	1706.0	1663.0	KVGcIg	HEBbwK	gkygIZ	3132.0	253.0
gkygIZ	203.0	1717.0	776.0	1319.0	jithza	ZigqKk	DJwYdl	3546.0	305.0
NwlieP	2267.0	974.0	398.0	1414.0	DJwYdl	uHjRAr	AWvgct	1036.0	68.0
CBcUxf	3079.0	690.0	549.0	169.0	rIaMwY	LHTxOM	wLOZRO	566.0	5445.0
OhryCL	1124.0	1052.0	1616.0	4737.0	KVGcIg	JqymVN	NwlieP	4460.0	4297.0
ReOawA	3040.0	303.0	347.0	4169.0	FElhOR	epcVJK	StAyqw	177.0	489.0
SYnotp	5191.0	2997.0	2115.0	330.0	FElhOR	NwlieP	FElhOR	789.0	564.0
gkygIZ	2554.0	4694.0	899.0	605.0	ReOawA	DPIKud	pfmxrL	3070.0	1443.0
ReOawA	1053.0	6166.0	32.0	53.0	gkygIZ	KVGcIg	uHjRAr	5151.0	2930.0
eeVQAD	7868.0	1783.0	1938.0	2480.0	DJwYdl	epcVJK	KVGcIg	18.0	738.0
rIaMwY	1275.0	54.0	416.0	4970.0	gkygIZ	epcVJK	xuoBel	1656.0	3735.0
eeVQAD	1067.0	1671.0	1956.0	1615.0	wLOZRO	SYnotp	rIaMwY	3136.0	4685.0
JqymVN	424.0	3678.0	1136.0	867.0	HEBbwK	NwlieP	HEBbwK	2322.0	2272.0
IrOLwQ	59.0	2033.0	841.0	3379.0	KVGcIg	SYnotp	ZigqKk	3892.0	620.0
xuoBel	230.0	334.0	1298.0	195.0	TuCZEm	StAyqw	FElhOR	2899.0	551.0
pfmxrL	14.0	286.0	3537.0	910.0	IrOLwQ	NwlieP	rIaMwY	4668.0	309.0
CBcUxf	777.0	8600.0	1443.0	5865.0	CBcUxf	WstBYV	StAyqw	1899.0	597.0
KVGcIg	2122.0	5342.0	195.0	1010.0	UPpvkc	StAyqw	OhryCL	4753.0	3418.0
TuCZEm	1617.0	3328.0	2218.0	809.0	gkygIZ	FElhOR	DJwYdl	1954.0	4751.0
WstBYV	2155.0	3664.0	4025.0	4795.0	KVGcIg	ZigqKk	gkygIZ	2662.0	990.0
AWvgct	7117.0	487.0	2673.0	4089.0	KVGcIg	SYnotp	NwlieP	882.0	1713.0
WstBYV	1959.0	817.0	2101.0	1297.0	UPpvkc	StAyqw	StAyqw	2429.0	721.0
pfmxrL	64.0	321.0	126.0	41.0	JqymVN	DPIKud	cpWqOw	2164.0	88.0
DJwYdl	7772.0	269.0	4242.0	2986.0	gkygIZ	HEBbwK	HEBbwK	188.0	6332.0
ZigqKk	4274.0	3024.0	427.0	830.0	OhryCL	TuCZEm	JqymVN	40.0	40.0
TuCZEm	420.0	917.0	1649.0	896.0	HEBbwK	JqymVN	cpWqOw	5276.0	1252.0
JqymVN	23.0	1018.0	1788.0	1269.0	DPIKud	CBcUxf	jithza	2348.0	1013.0
FElhOR	2068.0	6532.0	8426.0	2133.0	WstBYV	CBcUxf	cpWqOw	5001.0	2419.0
gkygIZ	1138.0	595.0	142.0	6408.0	IrOLwQ	xuoBel	DPIKud	99.0	400.0
eeVQAD	8565.0	169.0	1394.0	3799.0	jithza	KVGcIg	MdNHJO	1484.0	3872.0
WstBYV	280.0	2049.0	1316.0	3889.0	CBcUxf	eeVQAD	xuoBel	620.0	2802.0
CBcUxf	490.0	2523.0	3337.0	257.0	UPpvkc	rIaMwY	pfmxrL	173.0	2774.0
FElhOR	176.0	594.0	1777.0	1891.0	epcVJK	rIaMwY	TuCZEm	6290.0	4826.0
AWvgct	443.0	4104.0	4301.0	3311.0	DPIKud	xuoBel	SYnotp	3.0	6794.0
MdNHJO	3174.0	6333.0	1481.0	2968.0	ZigqKk	gkygIZ	uHjRAr	989.0	4430.0
gkygIZ	957.0	3103.0	6337.0	7379.0	DJwYdl	DPIKud	WstBYV	2013.0	1608.0
pfmxrL	953.0	3833.0	1604.0	31.0	OhryCL	NwlieP	JqymVN	4322.0	2577.0
eeVQAD	3444.0	7834.0	993.0	4822.0	HEBbwK	wLOZRO	UPpvkc	1885.0	6314.0
epcVJK	464.0	2013.0	556.0	9271.0	DPIKud	KVGcIg	CBcUxf	2711.0	463.0
KVGcIg	367.0	1074.0	1760.0	3048.0	IrOLwQ	ZigqKk	xuoBel	6462.0	1871.0
ReOawA	4400.0	2796.0	1403.0	6192.0	StAyqw	jithza	AWvgct	5004.0	5459.0
FElhOR	3259.0	4671.0	3415.0	3209.0	rIaMwY	UPpvkc	TuCZEm	2281.0	3071.0
rIaMwY	310.0	131.0	3654.0	12.0	StAyqw	StAyqw	jithza	1577.0	5284.0
TuCZEm	7163.0	539.0	2487.0	3570.0	DPIKud	DPIKud	TuCZEm	371.0	2633.0
xuoBel	6275.0	3231.0	26.0	201.0	KVGcIg	xuoBel	gkygIZ	933.0	1237.0
jithza	410.0	1979.0	3621.0	1800.0	ZigqKk	pfmxrL	KVGcIg	6745.0	865.0
IrOLwQ	3094.0	709.0	4805.0	4071.0	WstBYV	StAyqw	HEBbwK	3520.0	8.0
OhryCL	1993.0	1385.0	788.0	109.0	AWvgct	AWvgct	cpWqOw	425.0	3982.0
StAyqw	7451.0	2323.0	3386.0	3831.0	HEBbwK	ReOawA	ZigqKk	5850.0	6354.0
ReOawA	901.0	242.0	291.0	96.0	ReOawA	cpWqOw	gkygIZ	2172.0	1800.0
IrOLwQ	4833.0	712.0	335.0	702.0	cpWqOw	rIaMwY	HEBbwK	4281.0	81.0
ZigqKk	4948.0	5294.0	538.0	5110.0	HEBbwK	OhryCL	WstBYV	512.0	1237.0
xuoBel	3546.0	2006.0	657.0	541.0	NwlieP	KVGcIg	HEBbwK	1728.0	1036.0
IrOLwQ	2598.0	50.0	714.0	734.0	pfmxrL	rIaMwY	TuCZEm	398.0	1802.0
CBcUxf	2523.0	5581.0	150.0	2544.0	KVGcIg	StAyqw	KVGcIg	2758.0	1648.0
jithza	675.0	39.0	185.0	193.0	HEBbwK	TuCZEm	epcVJK	4505.0	2459.0
eeVQAD	6689.0	1520.0	5181.0	2539.0	eeVQAD	StAyqw	DJwYdl	934.0	55.0
pfmxrL	1508.0	4696.0	3589.0	4626.0	TuCZEm	eeVQAD	SYnotp	2447.0	306.0
StAyqw	2202.0	8848.0	1669.0	2401.0	ZigqKk	rIaMwY	MdNHJO	3311.0	755.0
JqymVN	1051.0	31.0	233.0	2115.0	uHjRAr	DJwYdl	MdNHJO	5944.0	51.0
eeVQAD	533.0	454.0	1294.0	2509.0	ReOawA	wLOZRO	JqymVN	28.0	3502.0
WstBYV	3721.0	6584.0	2412.0	2766.0	MdNHJO	MdNHJO	ZigqKk	7139.0	6094.0
eeVQAD	5173.0	8186.0	300.0	1616.0	wLOZRO	SYnotp	JqymVN	1918.0	94.0
TuCZEm	502.0	803.0	1201.0	1369.0	SYnotp	xuoBel	HEBbwK	1338.0	1128.0
FElhOR	4120.0	2852.0	123.0	2838.0	ZigqKk	StAyqw	CBcUxf	1241.0	2896.0
rIaMwY	7691.0	4478.0	5.0	2296.0	JqymVN	xuoBel	HEBbwK	2259.0	761.0
KVGcIg	174.0	608.0	2120.0	288.0	LHTxOM	WstBYV	StAyqw	100.0	6234.0
KVGcIg	7711.0	6652.0	2683.0	2981.0	rIaMwY	cpWqOw	StAyqw	913.0	320.0
xuoBel	499.0	1548.0	4395.0	3420.0	DJwYdl	LHTxOM	epcVJK	5265.0	6621.0
ZigqKk	1897.0	494.0	545.0	873.0	TuCZEm	DJwYdl	gkygIZ	2793.0	271.0
KVGcIg	1951.0	1571.0	3289.0	2743.0	TuCZEm	UPpvkc	AWvgct	1015.0	5121.0
xuoBel	4527.0	5958.0	751.0	226.0	wLOZRO	pfmxrL	jithza	8104.0	41.0
DPIKud	1051.0	50.0	287.0	2112.0	uHjRAr	FElhOR	MdNHJO	284.0	3388.0
IrOLwQ	882.0	1513.0	520.0	6304.0	JqymVN	OhryCL	CBcUxf	3641.0	1341.0
LHTxOM	548.0	246.0	963.0	495.0	CBcUxf	OhryCL	DPIKud	4608.0	401.0
wLOZRO	91.0	3081.0	2190.0	161.0	eeVQAD	MdNHJO	IrOLwQ	3783.0	1007.0
UPpvkc	3582.0	155.0	3342.0	3748.0	jithza	AWvgct	jithza	159.0	4870.0
KVGcIg	4942.0	9140.0	40.0	109.0	CBcUxf	wLOZRO	NwlieP	482.0	196.0
uHjRAr	310.0	348.0	14.0	8392.0	LHTxOM	StAyqw	cpWqOw	1913.0	3199.0
WstBYV	21.0	2387.0	458.0	3958.0	cpWqOw	CBcUxf	CBcUxf	4982.0	3254.0
eeVQAD	3715.0	2642.0	7934.0	356.0	IrOLwQ	jithza	WstBYV	1984.0	1399.0
FElhOR	265.0	599.0	981.0	1145.0	ZigqKk	uHjRAr	DPIKud	1383.0	2323.0
IrOLwQ	2288.0	1651.0	4030.0	2544.0	xuoBel	DPIKud	pfmxrL	201.0	5969.0
ReOawA	3294.0	1414.0	6286.0	1137.0	WstBYV	HEBbwK	FElhOR	700.0	1805.0
CBcUxf	3475.0	203.0	328.0	2858.0	xuoBel	epcVJK	KVGcIg	861.0	1194.0
wLOZRO	3749.0	2942.0	3179.0	4994.0	uHjRAr	CBcUxf	rIaMwY	24.0	392.0
gkygIZ	578.0	3349.0	2506.0	1897.0	WstBYV	TuCZEm	JqymVN	2411.0	2077.0
pfmxrL	81.0	769.0	1944.0	6701.0	DJwYdl	cpWqOw	StAyqw	679.0	4816.0
SYnotp	263.0	4366.0	289.0	3251.0	pfmxrL	epcVJK	LHTxOM	3278.0	3003.0
jithza	451.0	1099.0	264.0	7942.0	TuCZEm	epcVJK	jithza	4078.0	1215.0
JqymVN	6954.0	1011.0	327.0	70.0	uHjRAr	NwlieP	NwlieP	375.0	277.0
epcVJK	9397.0	3739.0	5134.0	3357.0	DPIKud	wLOZRO	MdNHJO	5104.0	2947.0
DJwYdl	1640.0	646.0	2520.0	6.0	JqymVN	DPIKud	pfmxrL	651.0	5427.0
rIaMwY	583.0	661.0	242.0	10.0	KVGcIg	LHTxOM	JqymVN	82.0	4056.0
KVGcIg	1623.0	3756.0	965.0	5247.0	HEBbwK	cpWqOw	ReOawA	1764.0	3510.0
StAyqw	3800.0	508.0	3767.0	5432.0	CBcUxf	AWvgct	UPpvkc	5292.0	2678.0
gkygIZ	6880.0	3064.0	6065.0	777.0	LHTxOM	uHjRAr	LHTxOM	2383.0	612.0
FElhOR	6534.0	585.0	2218.0	1204.0	NwlieP	NwlieP	gkygIZ	6931.0	6583.0
uHjRAr	2458.0	1155.0	467.0	2769.0	NwlieP	DJwYdl	TuCZEm	192.0	1930.0
uHjRAr	1957.0	549.0	1810.0	40.0	xuoBel	epcVJK	WstBYV	7694.0	1186.0
OhryCL	714.0	8242.0	791.0	2199.0	epcVJK	cpWqOw	HEBbwK	1628.0	2765.0
uHjRAr	35.0	4433.0	5876.0	1955.0	JqymVN	xuoBel	pfmxrL	5890.0	778.0
gkygIZ	6252.0	1206.0	911.0	3628.0	eeVQAD	cpWqOw	SYnotp	7176.0	2485.0
AWvgct	2889.0	1736.0	409.0	39.0	UPpvkc	pfmxrL	rIaMwY	1.0	5785.0
pfmxrL	726.0	151.0	5438.0	3719.0	FElhOR	xuoBel	JqymVN	1201.0	4607.0
wLOZRO	5276.0	1478.0	1115.0	6845.0	DPIKud	HEBbwK	DPIKud	5946.0	3461.0
OhryCL	475.0	2433.0	4719.0	2727.0	HEBbwK	LHTxOM	rIaMwY	7121.0	8360.0
IrOLwQ	938.0	3361.0	2623.0	1703.0	WstBYV	cpWqOw	ReOawA	1400.0	4443.0
LHTxOM	7083.0	9482.0	269.0	2161.0	eeVQAD	FElhOR	JqymVN	158.0	3887.0
CBcUxf	2795.0	2247.0	372.0	1134.0	xuoBel	LHTxOM	StAyqw	66.0	6062.0
xuoBel	442.0	2172.0	1524.0	4547.0	MdNHJO	jithza	ReOawA	2059.0	552.0
NwlieP	308.0	363.0	3331.0	1536.0	wLOZRO	xuoBel	MdNHJO	3295.0	154.0
MdNHJO	2383.0	3747.0	492.0	4634.0	CBcUxf	uHjRAr	AWvgct	6153.0	346.0
epcVJK	1015.0	661.0	2921.0	1168.0	rIaMwY	SYnotp	FElhOR	3067.0	124.0
cpWqOw	1782.0	969.0	5930.0	1462.0	LHTxOM	NwlieP	ZigqKk	2768.0	1384.0
StAyqw	4939.0	814.0	4433.0	134.0	ZigqKk	WstBYV	SYnotp	1214.0	7095.0
JqymVN	671.0	0.0	2184.0	900.0	MdNHJO	jithza	KVGcIg	7179.0	4728.0
epcVJK	8628.0	2523.0	1106.0	3243.0	UPpvkc	SYnotp	DPIKud	239.0	7832.0
epcVJK	3174.0	688.0	2329.0	446.0	OhryCL	SYnotp	DJwYdl	2795.0	997.0
DPIKud	7213.0	1284.0	31.0	23.0	SYnotp	jithza	UPpvkc	666.0	2059.0
MdNHJO	96.0	4701.0	2677.0	2368.0	ZigqKk	xuoBel	jithza	1945.0	340.0
pfmxrL	1465.0	1851.0	6213.0	239.0	eeVQAD	FElhOR	epcVJK	3654.0	2810.0
gkygIZ	4815.0	4638.0	74.0	4135.0	CBcUxf	WstBYV	gkygIZ	552.0	686.0
NwlieP	2186.0	1011.0	2933.0	15.0	HEBbwK	FElhOR	StAyqw	2209.0	1566.0
FElhOR	386.0	1544.0	409.0	1594.0	eeVQAD	gkygIZ	wLOZRO	695.0	5594.0
eeVQAD	4876.0	3295.0	2467.0	86.0	TuCZEm	wLOZRO	jithza	2304.0	817.0
ReOawA	3730.0	2841.0	187.0	957.0	UPpvkc	OhryCL	DJwYdl	1193.0	2467.0
LHTxOM	1407.0	705.0	385.0	255.0	ZigqKk	eeVQAD	cpWqOw	8331.0	1498.0
NwlieP	6551.0	618.0	1466.0	1727.0	TuCZEm	uHjRAr	eeVQAD	1732.0	2255.0
SYnotp	608.0	2251.0	179.0	1619.0	pfmxrL	ReOawA	jithza	3602.0	962.0
uHjRAr	331.0	2385.0	1036.0	855.0	SYnotp	pfmxrL	rIaMwY	4990.0	7881.0
JqymVN	446.0	3310.0	1355.0	972.0	SYnotp	WstBYV	rIaMwY	994.0	1868.0
JqymVN	1871.0	336.0	3354.0	5256.0	DJwYdl	JqymVN	KVGcIg	2408.0	2015.0
OhryCL	34.0	735.0	6699.0	471.0	LHTxOM	ReOawA	eeVQAD	1863.0	3343.0
OhryCL	3.0	2215.0	142.0	2403.0	pfmxrL	ReOawA	gkygIZ	1826.0	4896.0
OhryCL	220.0	3551.0	546.0	456.0	cpWqOw	jithza	AWvgct	2534.0	4811.0
xuoBel	134.0	1574.0	567.0	4350.0	JqymVN	TuCZEm	TuCZEm	1722.0	5784.0
DJwYdl	1079.0	2216.0	9554.0	2209.0	rIaMwY	CBcUxf	OhryCL	2956.0	443.0
StAyqw	5025.0	226.0	1395.0	3528.0	UPpvkc	CBcUxf	xuoBel	172.0	1616.0
UPpvkc	641.0	6761.0	8660.0	71.0	OhryCL	FElhOR	epcVJK	2.0	4124.0
eeVQAD	356.0	4157.0	1142.0	2654.0	epcVJK	DJwYdl	pfmxrL	3801.0	1417.0
uHjRAr	958.0	4239.0	2908.0	2154.0	IrOLwQ	eeVQAD	eeVQAD	373.0	1611.0
StAyqw	4446.0	345.0	1588.0	360.0	AWvgct	TuCZEm	cpWqOw	3283.0	7755.0
pfmxrL	4104.0	284.0	1367.0	2406.0	ZigqKk	FElhOR	IrOLwQ	5558.0	5125.0
TuCZEm	34.0	1287.0	2349.0	8833.0	rIaMwY	ReOawA	CBcUxf	630.0	2557.0
ZigqKk	6327.0	4659.0	1222.0	295.0	AWvgct	OhryCL	DJwYdl	1202.0	384.0
cpWqOw	642.0	1492.0	502.0	3418.0	KVGcIg	jithza	eeVQAD	1750.0	4680.0
eeVQAD	2154.0	973.0	72.0	6607.0	eeVQAD	UPpvkc	cpWqOw	955.0	1126.0
CBcUxf	773.0	1171.0	4246.0	666.0	uHjRAr	JqymVN	AWvgct	743.0	7561.0
ZigqKk	5666.0	2476.0	634.0	4320.0	gkygIZ	gkygIZ	HEBbwK	4986.0	1233.0
LHTxOM	792.0	4313.0	3383.0	1096.0	KVGcIg	OhryCL	UPpvkc	3362.0	2071.0
epcVJK	805.0	1458.0	5652.0	2834.0	xuoBel	uHjRAr	ZigqKk	57.0	3578.0
pfmxrL	4173.0	304.0	333.0	9.0	LHTxOM	ReOawA	epcVJK	5088.0	8224.0
NwlieP	4361.0	8934.0	472.0	142.0	CBcUxf	gkygIZ	DJwYdl	162.0	5165.0
MdNHJO	3428.0	2660.0	695.0	44.0	ZigqKk	HEBbwK	gkygIZ	6131.0	640.0
SYnotp	5864.0	4244.0	2588.0	35.0	MdNHJO	NwlieP	IrOLwQ	2533.0	1984.0
WstBYV	20.0	1333.0	6366.0	179.0	SYnotp	WstBYV	epcVJK	3081.0	1423.0
xuoBel	1237.0	108.0	9480.0	1256.0	TuCZEm	wLOZRO	JqymVN	3359.0	3145.0
ZigqKk	3830.0	424.0	2444.0	258.0	rIaMwY	jithza	pfmxrL	3744.0	331.0
MdNHJO	3670.0	41.0	1062.0	2131.0	OhryCL	StAyqw	epcVJK	3494.0	644.0
ReOawA	7154.0	4085.0	1976.0	2377.0	MdNHJO	KVGcIg	jithza	449.0	1195.0
CBcUxf	1353.0	5384.0	5157.0	1041.0	uHjRAr	HEBbwK	KVGcIg	5074.0	6017.0
DJwYdl	982.0	2494.0	6297.0	3087.0	SYnotp	ReOawA	FElhOR	1751.0	1820.0
SYnotp	3389.0	3127.0	6201.0	3964.0	rIaMwY	uHjRAr	AWvgct	1983.0	2500.0
jithza	248.0	1963.0	2512.0	810.0	SYnotp	LHTxOM	CBcUxf	1344.0	983.0
xuoBel	7552.0	273.0	1125.0	720.0	TuCZEm	uHjRAr	epcVJK	325.0	6717.0
HEBbwK	4156.0	1793.0	2190.0	569.0	NwlieP	WstBYV	JqymVN	5834.0	2143.0
DJwYdl	2228.0	757.0	5264.0	3459.0	FElhOR	ZigqKk	uHjRAr	5925.0	6136.0
UPpvkc	8024.0	1084.0	2650.0	571.0	SYnotp	NwlieP	ZigqKk	2414.0	1323.0
NwlieP	461.0	4028.0	4266.0	425.0	rIaMwY	DJwYdl	eeVQAD	6668.0	102.0
CBcUxf	1175.0	560.0	1131.0	1067.0	KVGcIg	epcVJK	DJwYdl	109.0	2108.0
IrOLwQ	3187.0	2741.0	5456.0	392.0	epcVJK	CBcUxf	FElhOR	1742.0	407.0
DPIKud	2499.0	3280.0	2455.0	3379.0	MdNHJO	gkygIZ	NwlieP	242.0	1580.0
StAyqw	1961.0	621.0	545.0	425.0	SYnotp	wLOZRO	uHjRAr	7356.0	582.0
epcVJK	3508.0	3444.0	4785.0	270.0	ZigqKk	rIaMwY	uHjRAr	624.0	977.0
NwlieP	46.0	1521.0	2053.0	1702.0	AWvgct	SYnotp	OhryCL	962.0	7175.0
eeVQAD	2370.0	3856.0	417.0	1437.0	rIaMwY	epcVJK	pfmxrL	1066.0	2056.0
SYnotp	2050.0	813.0	1247.0	154.0	LHTxOM	UPpvkc	UPpvkc	4035.0	6752.0
UPpvkc	3492.0	1476.0	40.0	6896.0	pfmxrL	LHTxOM	DJwYdl	5396.0	2190.0
cpWqOw	4243.0	1023.0	4909.0	7792.0	epcVJK	NwlieP	DPIKud	226.0	283.0
pfmxrL	538.0	1323.0	170.0	1301.0	epcVJK	StAyqw	DJwYdl	591.0	3753.0
WstBYV	7936.0	7664.0	6256.0	3987.0	ZigqKk	MdNHJO	DPIKud	340.0	1418.0
uHjRAr	3015.0	737.0	4421.0	2676.0	HEBbwK	LHTxOM	gkygIZ	1121.0	2400.0
ZigqKk	6234.0	1668.0	342.0	6654.0	eeVQAD	FElhOR	FElhOR	579.0	1283.0
CBcUxf	152.0	4803.0	7390.0	35.0	epcVJK	DJwYdl	TuCZEm	3970.0	554.0
IrOLwQ	4874.0	1694.0	2829.0	450.0	DPIKud	ReOawA	JqymVN	714.0	701.0
FElhOR	167.0	4486.0	902.0	482.0	cpWqOw	jithza	CBcUxf	4220.0	38.0
AWvgct	365.0	3841.0	3295.0	0.0	CBcUxf	IrOLwQ	uHjRAr	4543.0	2741.0
DPIKud	363.0	179.0	1885.0	1429.0	KVGcIg	LHTxOM	pfmxrL	2966.0	428.0
JqymVN	3528.0	1336.0	3137.0	1300.0	WstBYV	NwlieP	epcVJK	4631.0	2163.0
MdNHJO	1742.0	762.0	84.0	401.0	DJwYdl	AWvgct	HEBbwK	3005.0	4450.0
SYnotp	3975.0	4178.0	2778.0	2531.0	ZigqKk	FElhOR	DJwYdl	1920.0	1292.0
HEBbwK	435.0	7456.0	801.0	1305.0	TuCZEm	cpWqOw	xuoBel	299.0	2376.0
FElhOR	1926.0	52.0	3960.0	335.0	HEBbwK	gkygIZ	pfmxrL	1770.0	4863.0
CBcUxf	5223.0	1973.0	916.0	6007.0	rIaMwY	rIaMwY	OhryCL	4606.0	1761.0
xuoBel	1278.0	2232.0	9081.0	1568.0	MdNHJO	SYnotp	UPpvkc	1648.0	171.0
DJwYdl	3187.0	1176.0	100.0	2396.0	FElhOR	pfmxrL	ReOawA	2059.0	4528.0
SYnotp	2015.0	681.0	1286.0	1867.0	cpWqOw	UPpvkc	UPpvkc	5651.0	4319.0
gkygIZ	4998.0	574.0	4616.0	106.0	DPIKud	wLOZRO	CBcUxf	2691.0	1235.0
JqymVN	2510.0	5599.0	4254.0	5031.0	UPpvkc	wLOZRO	JqymVN	961.0	1622.0
IrOLwQ	107.0	1340.0	4566.0	104.0	rIaMwY	UPpvkc	AWvgct	382.0	1944.0
ReOawA	3830.0	251.0	798.0	447.0	OhryCL	FElhOR	DPIKud	2538.0	1554.0
wLOZRO	4110.0	3691.0	545.0	1738.0	HEBbwK	DPIKud	FElhOR	1742.0	294.0
pfmxrL	4841.0	4508.0	1243.0	6282.0	TuCZEm	DJwYdl	FElhOR	3160.0	4185.0
DJwYdl	2289.0	400.0	1777.0	140.0	CBcUxf	xuoBel	KVGcIg	482.0	6413.0
CBcUxf	2095.0	1494.0	171.0	809.0	pfmxrL	MdNHJO	KVGcIg	77.0	1295.0
KVGcIg	2726.0	472.0	5979.0	4035.0	DJwYdl	AWvgct	TuCZEm	2965.0	57.0
NwlieP	1544.0	1564.0	1737.0	1189.0	AWvgct	epcVJK	WstBYV	3036.0	3530.0
NwlieP	1568.0	179.0	2043.0	3107.0	CBcUxf	UPpvkc	CBcUxf	969.0	171.0
TuCZEm	754.0	164.0	857.0	5924.0	jithza	AWvgct	DPIKud	187.0	149.0
epcVJK	1522.0	63.0	281.0	5176.0	DPIKud	cpWqOw	epcVJK	2572.0	1410.0
IrOLwQ	2709.0	337.0	205.0	772.0	wLOZRO	pfmxrL	AWvgct	3832.0	106.0
StAyqw	1516.0	1022.0	362.0	3478.0	WstBYV	DJwYdl	MdNHJO	7190.0	8462.0
AWvgct	1274.0	0.0	1661.0	5381.0	gkygIZ	HEBbwK	OhryCL	299.0	928.0
JqymVN	625.0	280.0	6563.0	466.0	gkygIZ	uHjRAr	wLOZRO	6733.0	1317.0
KVGcIg	14.0	299.0	5973.0	1165.0	xuoBel	uHjRAr	wLOZRO	3939.0	83.0
TuCZEm	1714.0	8619.0	5779.0	1076.0	rIaMwY	cpWqOw	uHjRAr	8194.0	1952.0
jithza	767.0	4169.0	4669.0	552.0	HEBbwK	DPIKud	WstBYV	319.0	1705.0
epcVJK	6600.0	5546.0	7539.0	7908.0	TuCZEm	cpWqOw	HEBbwK	768.0	2836.0
FElhOR	1786.0	1375.0	246.0	1447.0	jithza	uHjRAr	epcVJK	667.0	1778.0
LHTxOM	534.0	3439.0	8156.0	2012.0	pfmxrL	uHjRAr	CBcUxf	3845.0	604.0
AWvgct	1136.0	2887.0	3805.0	2051.0	AWvgct	OhryCL	ZigqKk	5897.0	9549.0
pfmxrL	579.0	1856.0	1370.0	1217.0	UPpvkc	DJwYdl	MdNHJO	2572.0	6148.0
cpWqOw	6943.0	5000.0	1698.0	4837.0	gkygIZ	DJwYdl	UPpvkc	3478.0	82.0
gkygIZ	473.0	985.0	5620.0	289.0	cpWqOw	StAyqw	ReOawA	3410.0	6534.0
gkygIZ	1742.0	543.0	2267.0	897.0	MdNHJO	WstBYV	SYnotp	1648.0	2498.0
gkygIZ	558.0	2731.0	782.0	52.0	JqymVN	jithza	FElhOR	478.0	6814.0
wLOZRO	4704.0	3287.0	400.0	898.0	IrOLwQ	StAyqw	WstBYV	1429.0	258.0
